ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,146064,0,1,1,1.0,0.4311928165419491,0.4311928165419491,0.021406868221087505,
6767,146064,0,2,1,2.0,0.4311928165419491,0.0,0.0,
6767,146064,0,8,1,8.0,0.4311928165419491,0.4311928165419491,0.42813566411450543,
6767,146064,0,3,1,3.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,0,5,1,5.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,0,13,1,13.0,0.4311928165419491,0.4311928165419491,0.4006127907312852,
6767,146064,0,20,1,20.0,0.4311928165419491,0.0,0.0,
6767,146064,1,1,1,1.0,0.42813566411450543,0.0,0.0,
6767,146064,0,35,1,35.0,0.4311928165419491,0.4067287958934179,0.0,
6767,146064,0,50,1,50.0,0.4311928165419491,0.35474020155442076,0.0,
6767,146064,1,2,1,2.0,0.42813566411450543,0.42813566411450543,0.0,
6767,146064,1,3,1,3.0,0.42813566411450543,0.3730882170408192,0.20489382431405345,
6767,146064,1,5,1,5.0,0.42813566411450543,0.42813566411450543,0.0,
6767,146064,1,8,1,8.0,0.42813566411450543,0.27217158140475983,0.0,
6767,146064,1,13,1,13.0,0.42813566411450543,0.42813566411450543,0.0,
6767,146064,1,20,1,20.0,0.42813566411450543,0.0,0.0,
6767,146064,1,35,1,35.0,0.42813566411450543,0.0,0.0,
6767,146064,1,50,1,50.0,0.42813566411450543,0.42507681137981634,0.0,
6767,146064,2,1,1,1.0,0.0,0.0,0.0,
6767,146064,2,2,1,2.0,0.0,0.0,0.0,
6767,146064,2,3,1,3.0,0.0,0.0,0.0,
6767,146064,2,5,1,5.0,0.0,0.0,0.0,
6767,146064,2,8,1,8.0,0.0,0.0,0.0,
6767,146064,2,13,1,13.0,0.0,0.0,0.0,
6767,146064,2,20,1,20.0,0.0,0.0,0.0,
6767,146064,2,35,1,35.0,0.0,0.0,0.0,
6767,146064,2,50,1,50.0,0.0,0.0,0.0,
6767,146064,3,1,1,1.0,0.4311928165419491,0.0,0.0,
6767,146064,3,2,1,2.0,0.4311928165419491,0.27828758656689256,0.0,
6767,146064,3,3,1,3.0,0.4311928165419491,0.0,0.0,
6767,146064,3,5,1,5.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,3,8,1,8.0,0.4311928165419491,0.0,0.0,
6767,146064,3,20,1,20.0,0.4311928165419491,0.0,0.0,
6767,146064,3,13,1,13.0,0.4311928165419491,0.0,0.0,
6767,146064,3,35,1,35.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,3,50,1,50.0,0.4311928165419491,0.0,0.0,
6767,146064,4,1,1,1.0,0.4311928165419491,0.4311928165419491,0.4311928165419491,
6767,146064,4,5,1,5.0,0.4311928165419491,0.0,0.0,
6767,146064,4,2,1,2.0,0.4311928165419491,0.4311928165419491,0.4311928165419491,
6767,146064,4,3,1,3.0,0.4311928165419491,0.4311928165419491,0.4311928165419491,
6767,146064,4,8,1,8.0,0.4311928165419491,0.0,0.0,
6767,146064,4,13,1,13.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,4,20,1,20.0,0.4311928165419491,0.0,0.0,
6767,146064,4,35,1,35.0,0.4311928165419491,0.4311928165419491,0.0,
6767,146064,4,50,1,50.0,0.4311928165419491,0.4311928165419491,0.0,
6767,9914,0,1,1,1.0,0.478467237786525,0.47367446168094596,0.04783514702477443,
6767,9914,0,2,1,2.0,0.478467237786525,0.478467237786525,0.052627923130356025,
