ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
5965,49,2,tpe,full,1,0.0,12391.5,
5965,49,1,gp,restricted,1,0.0061171397098459535,2000.0,
5965,49,1,gp,full,1,0.00305856985492281,12391.5,
5965,49,2,tpe,restricted,1,0.009175709564769097,2000.0,
5965,49,2,tpe,adaptive,1,0.0061171397098459535,1000.0,
5965,49,1,gp,adaptive,1,0.0061171397098459535,1077.5,
5965,49,3,tpe,full,1,0.0061171397098459535,12391.5,
5965,49,2,gp,restricted,1,0.0061171397098459535,2000.0,
5965,49,3,tpe,restricted,1,0.0061171397098459535,2000.0,
5965,49,3,tpe,adaptive,1,0.018348489464926065,1000.0,
5965,49,2,gp,full,1,0.0061171397098459535,12391.5,
5965,49,2,gp,adaptive,1,0.0061171397098459535,1139.9,
5965,49,4,tpe,full,1,0.0061171397098459535,12391.5,
5965,49,3,gp,full,1,0.10091815688939931,12391.5,
5965,49,4,tpe,restricted,1,0.0,2000.0,
5965,49,3,gp,restricted,1,0.0764525277146273,2000.0,
5965,49,4,tpe,adaptive,1,0.00305856985492281,1000.0,
5965,49,3,gp,adaptive,1,0.09480101717955336,1072.55,
5965,9946,0,tpe,full,1,0.020513180854724866,13125.5,
5965,49,4,gp,full,1,0.0,12391.5,
5965,49,4,gp,restricted,1,0.0030582456957903847,2000.0,
5965,9946,0,tpe,restricted,1,0.020513180854724866,2000.0,
5965,9946,0,tpe,adaptive,1,0.020513180854724866,1000.0,
5965,49,4,gp,adaptive,1,0.0030582456957903847,1036.75,
5965,9946,1,tpe,full,1,0.010256590427362267,13125.5,
5965,9946,0,gp,restricted,1,0.010256590427362267,2000.0,
5965,9946,0,gp,full,1,0.010256590427362267,13125.5,
5965,9946,1,tpe,restricted,1,0.020513180854724866,2000.0,
5965,9946,1,tpe,adaptive,1,0.03076977128208702,1000.0,
5965,9946,0,gp,adaptive,1,0.010256590427362267,1123.95,
5965,9946,1,gp,restricted,1,0.015383426666587208,2000.0,
5965,9946,2,tpe,full,1,0.020513180854724866,13125.5,
5965,9946,1,gp,full,1,0.010256590427362267,13125.5,
5965,9946,2,tpe,restricted,1,0.020513180854724866,2000.0,
5965,9946,2,tpe,adaptive,1,0.025640017093949807,1000.0,
5965,9946,1,gp,adaptive,1,0.015383426666587208,1008.95,
5965,9946,3,tpe,full,1,0.025640017093949807,13125.5,
5965,9946,2,gp,restricted,1,0.020513180854724866,2000.0,
5965,9946,3,tpe,restricted,1,0.015383426666587208,2000.0,
5965,9946,2,gp,full,1,0.010256590427362267,13125.5,
5965,9946,3,tpe,adaptive,1,0.025640017093949807,1000.0,
5965,9946,2,gp,adaptive,1,0.015383426666587208,1405.65,
5965,9946,3,gp,full,1,0.020513180854724866,13125.5,
5965,9946,4,tpe,full,1,0.020513180854724866,13125.5,
5965,9946,3,gp,restricted,1,0.025640017093949807,2000.0,
5965,9946,4,tpe,restricted,1,0.015383426666587208,2000.0,
5965,9946,4,tpe,adaptive,1,0.005126836239225052,1000.0,
5965,9946,3,gp,adaptive,1,0.025640017093949807,1393.1,
5965,9946,4,gp,restricted,1,0.0,2000.0,
5965,9946,4,gp,full,1,0.010256590427362267,13125.5,
5965,9946,4,gp,adaptive,1,0.005126836239225052,1391.75,
6794,145804,0,tpe,full,1,0.0027552426144189512,52433.5,
6794,145804,0,tpe,restricted,1,0.0055104852288381245,2000.0,
6794,145804,0,tpe,adaptive,1,0.0055104852288381245,1000.0,
6794,145804,1,tpe,full,1,0.011018331336398068,52433.5,
6794,145804,0,gp,restricted,1,0.0055104852288381245,2000.0,
6794,145804,0,gp,adaptive,1,0.0055104852288381245,1002.15,
6794,145804,0,gp,full,1,0.008265727843257409,52433.5,
6794,145804,1,tpe,restricted,1,0.0055104852288381245,2000.0,
6794,145804,1,tpe,adaptive,1,0.0055104852288381245,1000.0,
