ss,task,seed,K,regret,mean_cand
5906,9971,3,full,0.08823882439685149,239.5
5906,9971,4,50,0.02940722577547661,50.0
5906,9971,4,100,0.05881445155095133,100.0
5906,9971,4,250,0.05881445155095133,239.5
5906,9971,4,500,0.05881445155095133,239.5
5906,9971,4,1000,0.05881445155095133,239.5
5906,9971,4,2000,0.05881445155095133,239.5
5906,9971,4,4000,0.05881445155095133,239.5
5906,9971,4,8000,0.05881445155095133,239.5
5906,9971,4,16000,0.05881445155095133,239.5
5906,9971,4,full,0.05881445155095133,239.5
5906,3918,0,50,0.21211815707228476,50.0
5906,3918,0,100,0.15152737171085728,100.0
5906,3918,0,250,0.15152737171085728,244.0
5906,3918,0,500,0.15152737171085728,244.5
5906,3918,0,1000,0.15152737171085728,244.5
5906,3918,0,2000,0.15152737171085728,244.5
5906,3918,0,4000,0.15152737171085728,244.5
5906,3918,0,8000,0.15152737171085728,244.5
5906,3918,0,16000,0.15152737171085728,244.5
5906,3918,0,full,0.15152737171085728,244.5
5906,3918,1,50,0.21211815707228476,50.0
5906,3918,1,100,0.09090298081123616,100.0
5906,3918,1,250,0.09090298081123616,244.0
5906,3918,1,500,0.09090298081123616,244.5
5906,3918,1,1000,0.09090298081123616,244.5
5906,3918,1,2000,0.09090298081123616,244.5
5906,3918,1,4000,0.09090298081123616,244.5
5906,3918,1,8000,0.09090298081123616,244.5
5906,3918,1,16000,0.09090298081123616,244.5
5906,3918,1,full,0.09090298081123616,244.5
5906,3918,2,50,0.1818059616224761,50.0
5906,3918,2,100,0.21211815707228476,100.0
5906,3918,2,250,0.0,244.0
5906,3918,2,500,0.0,244.5
5906,3918,2,1000,0.0,244.5
5906,3918,2,2000,0.0,244.5
5906,3918,2,4000,0.0,244.5
5906,3918,2,8000,0.0,244.5
5906,3918,2,16000,0.0,244.5
5906,3918,2,full,0.0,244.5
5906,3918,3,50,0.1818059616224761,50.0
5906,3918,3,100,0.0,100.0
5906,3918,3,250,0.0,244.0
5906,3918,3,500,0.0,244.5
5906,3918,3,1000,0.0,244.5
5906,3918,3,2000,0.0,244.5
5906,3918,3,4000,0.0,244.5
5906,3918,3,8000,0.0,244.5
5906,3918,3,16000,0.0,244.5
5906,3918,3,full,0.0,244.5
5906,3918,4,50,0.09090298081123616,50.0
5906,3918,4,100,0.15152737171085728,100.0
5906,3918,4,250,0.15152737171085728,244.0
5906,3918,4,500,0.15152737171085728,244.5
5906,3918,4,1000,0.15152737171085728,244.5
5906,3918,4,2000,0.15152737171085728,244.5
5906,3918,4,4000,0.15152737171085728,244.5
5906,3918,4,8000,0.15152737171085728,244.5
5906,3918,4,16000,0.15152737171085728,244.5
5906,3918,4,full,0.15152737171085728,244.5
5971,10093,0,50,0.004941017451781882,50.0
5971,10093,0,100,0.0032932582009360667,100.0
5971,10093,0,250,0.0016454989500901407,250.0
5971,10093,0,500,0.0,500.0
5971,10093,0,1000,0.0032932582009360667,1000.0
5971,10093,0,2000,0.0,2000.0
5971,10093,0,4000,0.018120831157793726,2250.5
5971,10093,0,8000,0.018120831157793726,2250.5
5971,10093,0,16000,0.018120831157793726,2250.5
5971,10093,0,full,0.018120831157793726,2250.5
5971,10093,1,50,0.011532054455165697,50.0
5971,10093,1,100,0.019768590408639652,100.0
5971,10093,1,250,0.0032932582009360667,250.0
5971,10093,1,500,0.008236535953473956,500.0
5971,10093,1,1000,0.0164730719069478,1000.0
5971,10093,1,2000,0.0164730719069478,2000.0
5971,10093,1,4000,0.00658877670262803,2250.5
5971,10093,1,8000,0.00658877670262803,2250.5
5971,10093,1,16000,0.00658877670262803,2250.5
5971,10093,1,full,0.00658877670262803,2250.5
5971,10093,2,50,0.00658877670262803,50.0
5971,10093,2,100,0.0016454989500901407,100.0
5971,10093,2,250,0.0164730719069478,250.0
5971,10093,2,500,0.0016454989500901407,500.0
5971,10093,2,1000,0.0032932582009360667,1000.0
